0x1BB4B5 Script_NavigateHome
0x1BB546 Script_NavigateBack
0x1BB56B Script_NavigateForward
0x1BB590 Script_NavigateStop
0x1BB5B5 Script_NavigateReload
0x1BB467 Script_SetFocus
0x1BB48D Script_ClearFocus
0x1BB5DA Script_CopyExternalLink
0x1BB5FF Script_OpenExternalLink
0x1BB624 Script_ClearCache
0x1BB649 Script_DeleteCookies
0x1BB66E Script_HasConnection
0x1BB69E Script_OpenTicket
0x1BB6F6 Script_SetZoom
0x1D3BDC Script_StartMovie
0x1D3CC0 Script_StopMovie
0x1D3CF0 Script_EnableSubtitles
0x1EB7AA Script_CreateTexture
0x1EB7BE Script_CreateMaskTexture
0x1EB7D2 Script_CreateLine
0x1EB7E6 Script_CreateFontString
0x1EBA17 Script_GetBoundsRect
0x1EBAB1 Script_GetNumRegions
0x1EBB3C Script_GetRegions
0x1EBC3A Script_GetNumChildren
0x1EBCBF Script_GetChildren
0x1EBDB6 Script_GetFrameStrata
0x1EBDEE Script_SetFrameStrata
0x1EBEC2 Script_GetFrameLevel
0x1EBF00 Script_SetFrameLevel
0x1EBFC9 Script_HasScript
0x1EC053 Script_GetScript
0x1EC081 Script_SetScript
0x1EC0AF Script_HookScript
0x1EC0DD Script_RegisterEvent
0x1EC165 Script_RegisterUnitEvent
0x1EC240 Script_UnregisterEvent
0x1EC2C6 Script_RegisterAllEvents
0x1EC2EB Script_UnregisterAllEvents
0x1EC310 Script_IsEventRegistered
0x1EC3BE Script_CanChangeAttribute
0x1EC3F2 Script_GetAttribute
0x1EC6E8 Script_SetAttribute
0x1EC870 Script_GetEffectiveScale
0x1EC8A7 Script_GetScale
0x1EC8E1 Script_SetScale
0x1EC99D Script_GetEffectiveAlpha
0x1EC9FB Script_GetAlpha
0x1ECA43 Script_SetAlpha
0x1ECADC Script_GetID
0x1ECB17 Script_SetID
0x1ECBA5 Script_SetToplevel
0x1ECC04 Script_IsToplevel
0x1ECC36 Script_EnableDrawLayer
0x1ECC94 Script_DisableDrawLayer
0x1ECCF2 Script_Show
0x1ECD3C Script_Hide
0x1ECD86 Script_SetShown
0x1ECDE7 Script_IsVisible
0x1ECE1B Script_IsShown
0x1ECE4F Script_Raise
0x1ECE99 Script_Lower
0x1ECEE3 Script_GetHitRectInsets
0x1ECF56 Script_SetHitRectInsets
0x1ED016 Script_GetClampRectInsets
0x1ED088 Script_SetClampRectInsets
0x1ED124 Script_GetMinResize
0x1ED1B6 Script_SetMinResize
0x1ED2C2 Script_GetMaxResize
0x1ED354 Script_SetMaxResize
0x1ED460 Script_SetMovable
0x1ED4A1 Script_IsMovable
0x1ED4D4 Script_SetDontSavePosition
0x1ED518 Script_GetDontSavePosition
0x1ED54C Script_SetResizable
0x1ED58D Script_IsResizable
0x1ED5C1 Script_StartMoving
0x1ED685 Script_StartSizing
0x1EA435 Script_StopMovingOrSizing
0x1EA463 Script_SetUserPlaced
0x1EA4E1 Script_IsUserPlaced
0x1EA515 Script_SetClampedToScreen
0x1EA550 Script_IsClampedToScreen
0x1EA581 Script_RegisterForDrag
0x1EA5E6 Script_EnableKeyboard
0x1EA65B Script_IsKeyboardEnabled
0x1EA6A0 Script_EnableMouse
0x1EA70C Script_IsMouseEnabled
0x1EA750 Script_SetMouseClickEnabled
0x1EA7AF Script_IsMouseClickEnabled
0x1EA7E3 Script_SetMouseMotionEnabled
0x1EA842 Script_IsMouseMotionEnabled
0x1EA876 Script_EnableMouseWheel
0x1EA8D9 Script_IsMouseWheelEnabled
0x1EA90D Script_EnableJoystick
0x1EA970 Script_IsJoystickEnabled
0x1EA9A4 Script_GetBackdrop
0x1EAC83 Script_SetBackdrop
0x1EB124 Script_GetBackdropColor
0x1EB1C8 Script_SetBackdropColor
0x1EB212 Script_GetBackdropBorderColor
0x1EB2B6 Script_SetBackdropBorderColor
0x1EB300 Script_SetDepth
0x1EB37A Script_GetDepth
0x1EB3C8 Script_GetEffectiveDepth
0x1EB41E Script_IgnoreDepth
0x1EB467 Script_IsIgnoringDepth
0x1EB49B Script_SetPropagateKeyboardInput
0x1EB4DD Script_GetPropagateKeyboardInput
0x1EB511 Script_SetFlattensRenderLayers
0x1EB54D Script_GetFlattensRenderLayers
0x1EB581 Script_GetEffectivelyFlattensRenderLayers
0x1EB5B5 Script_SetHyperlinksEnabled
0x1EB5F1 Script_GetHyperlinksEnabled
0x1EB625 Script_SetClipsChildren
0x1EB661 Script_DoesClipChildren
0x1EB695 Script_SetIgnoreParentAlpha
0x1EB6D1 Script_IsIgnoringParentAlpha
0x1EB705 Script_SetIgnoreParentScale
0x1EB741 Script_IsIgnoringParentScale
0x1EB775 Script_IsObjectLoaded
0x1EFF21 Script_GetObjectType
0x1EFF52 Script_IsObjectType
0x1EFFCD Script_GetName
0x1F0011 Script_SetFontObject
0x1F004F Script_GetFontObject
0x1F008D Script_CopyFontObject
0x1F00CB Script_SetFont
0x1F0109 Script_GetFont
0x1F0147 Script_SetAlpha1
0x1F0185 Script_GetAlpha1
0x1F01C3 Script_SetTextColor
0x1F0201 Script_GetTextColor
0x1F023F Script_SetShadowColor
0x1F027D Script_GetShadowColor
0x1F02BB Script_SetShadowOffset
0x1F02F9 Script_GetShadowOffset
0x1F0337 Script_SetSpacing
0x1F0375 Script_GetSpacing
0x1F03B3 Script_SetJustifyH
0x1F03F1 Script_GetJustifyH
0x1F042F Script_SetJustifyV
0x1F046D Script_GetJustifyV
0x1F04AB Script_SetIndentedWordWrap
0x1F04E9 Script_GetIndentedWordWrap
0x1F0DBE Script_SetFontObject1
0x1F0E00 Script_GetFontObject1
0x1F0E42 Script_SetFont1
0x1F0E90 Script_GetFont1
0x1F0ED2 Script_SetTextColor1
0x1F0F14 Script_GetTextColor1
0x1F0F56 Script_SetShadowColor1
0x1F0F98 Script_GetShadowColor1
0x1F0FDA Script_SetShadowOffset1
0x1F101C Script_GetShadowOffset1
0x1F105E Script_SetSpacing1
0x1F10A0 Script_GetSpacing1
0x1F10E2 Script_SetJustifyH1
0x1F1124 Script_GetJustifyH1
0x1F1166 Script_SetJustifyV1
0x1F11A8 Script_GetJustifyV1
0x1F11EA Script_SetInsertMode
0x1F127C Script_GetInsertMode
0x1F12C1 Script_SetIndentedWordWrap1
0x1F1303 Script_GetIndentedWordWrap1
0x1F1345 Script_SetFading
0x1F1377 Script_GetFading
0x1F13A4 Script_SetTimeVisible
0x1F141C Script_GetTimeVisible
0x1F1456 Script_SetFadeDuration
0x1F14CE Script_GetFadeDuration
0x1F1508 Script_SetFadePower
0x1F1584 Script_GetFadePower
0x1F15BE Script_AddMessage
0x1F1679 Script_HasMessageByID
0x1F16CC Script_ResetMessageFadeByID
0x1F1734 Script_GetFontStringByID
0x1F17A2 Script_Clear
0x1F1E96 Script_Enable
0x1F1EE5 Script_Disable
0x1F1F34 Script_SetEnabled
0x1F1F97 Script_IsEnabled
0x1F1FCE Script_GetButtonState
0x1F2029 Script_SetButtonState
0x1F20B8 Script_SetNormalFontObject
0x1F217E Script_GetNormalFontObject
0x1F21CC Script_SetDisabledFontObject
0x1F2292 Script_GetDisabledFontObject
0x1F22E0 Script_SetHighlightFontObject
0x1F23A6 Script_GetHighlightFontObject
0x1F23F4 Script_SetFontString
0x1F2468 Script_GetFontString
0x1F2492 Script_SetText
0x1F24C8 Script_SetFormattedText
0x1F2514 Script_GetText
0x1F2545 Script_SetNormalTexture
0x1F255C Script_GetNormalTexture
0x1F256D Script_SetPushedTexture
0x1F2584 Script_GetPushedTexture
0x1F2595 Script_SetDisabledTexture
0x1F25AC Script_GetDisabledTexture
0x1F25BD Script_SetHighlightTexture
0x1F26BB Script_GetHighlightTexture
0x1F27D6 Script_SetPushedTextOffset
0x1F28D7 Script_GetPushedTextOffset
0x1F26E5 Script_SetNormalAtlas
0x1F26FC Script_SetPushedAtlas
0x1F2713 Script_SetDisabledAtlas
0x1F272A Script_SetHighlightAtlas
0x1F27D6 Dupplicate entry address ******** Script_SetPushedTextOffset1 *****************
0x1F28D7 Dupplicate entry address ******** Script_GetPushedTextOffset1 *****************
0x1F296C Script_GetTextWidth
0x1F29DB Script_GetTextHeight
0x1F2A4D Script_RegisterForClicks
0x1F2AC5 Script_Click
0x1F2B42 Script_LockHighlight
0x1F2B6C Script_UnlockHighlight
0x1F2B96 Script_GetMotionScriptsWhileDisabled
0x1F2BCA Script_SetMotionScriptsWhileDisabled
0x1F2E85 Script_SetChecked
0x1F2EBD Script_GetChecked
0x1F2EEA Script_GetCheckedTexture
0x1F2F14 Script_SetCheckedTexture
0x1F2FBA Script_GetDisabledCheckedTexture
